block_size,timeout,arrival_rate,prob_timeout
40,0.2,800,9.44E-03
40,0.2,1000,3.84E-03
60,0.2,50,0.9999996558
60,0.2,100,0.9975785191
60,0.2,200,0.8428489908
60,0.2,400,0.3121040794
60,0.2,600,0.1073830334
60,0.2,800,0.0421903648
60,0.2,1000,0.0188475257
80,0.2,50,0.9999999997
80,0.2,100,0.9999199562
80,0.2,200,0.9606587654
80,0.2,400,0.5434382518
80,0.2,600,0.2384672905
80,0.2,800,0.1077512896
80,0.2,1000,0.052625512
100,0.2,50,1
100,0.2,100,0.9999978735
100,0.2,200,0.9918086397
100,0.2,400,0.7309254246
100,0.2,600,0.3950494675
100,0.2,800,0.2031077267
100,0.2,1000,0.1079696026
20,0.5,50,0.3349774002
20,0.5,100,0.0522433139
20,0.5,200,0.0040061568
20,0.5,400,2.01E-04
20,0.5,600,3.11E-05
20,0.5,800,8.02E-06
20,0.5,1000,2.76E-06
40,0.5,50,0.8653796852
40,0.5,100,0.3523911818
40,0.5,200,0.0525456361
40,0.5,400,0.0038422416
40,0.5,600,6.78E-04
40,0.5,800,1.87E-04
40,0.5,1000,6.69E-05
60,0.5,50,0.9860070564
60,0.5,100,0.6888271116
60,0.5,200,0.18055415
60,0.5,400,0.0188475257
60,0.5,600,0.0037834933
60,0.5,800,0.0011124329
60,0.5,1000,0.0004150007
80,0.5,50,0.9989742597
80,0.5,100,0.8830066828
80,0.5,200,0.3615918561
80,0.5,400,0.052625512
80,0.5,600,0.0119665409
80,0.5,800,0.0037533496
80,0.5,1000,0.0014565999
100,0.5,50,0.9999390637
100,0.5,100,0.9627734879
100,0.5,200,0.5465924454
100,0.5,400,0.1079696026
100,0.5,600,0.027700428
100,0.5,800,0.00925684
100,0.5,1000,0.0037350174
